"143";"143";"sites/default/files/pictures/978-3-930378-50-7.jpg";"Palmyra";"2003";"978-3-930378-50-0";"17.90";"297"
"144";"144";;"Edition Blackbox";"2003";;"5.50";"38"
"145";"145";;"Edition Blackbox";"2003";;"4.50";"29"
"146";"146";;"Edition AV";"2000";"978-3-9806407-0";"8.40";"107"
"522";"522";"sites/default/files/pictures/978-3-87387-600-2.jpg";"Junfermann";"2005";"978-3-87387-600-2";"5,90";"48"
"148";"148";;"Edition AV";"2002";"978-3-936049-10-6";"9.80";"70"
"500";"500";;"Edition Ahrens";"1984";"3-88468-018-8";"3,00";"78"
"152";"152";;"Packpapier";;;"2.00";"25"
"153";"153";"sites/default/files/pictures/978-3-926529-62-8.jpg";"Atlantik";"1995";"978-3-926529-62-8";"13,00";"298"
"154";"154";"sites/default/files/pictures/978-3-932710-06-1.jpg";"Alibri";"1998";"978-3-932710-06-3";"10.00";"104"
"364";"364";;;;;"1.00";"20"
"156";"156";"sites/default/files/pictures/978-3-85869-127-5.jpg";"Rotpunkt";"1996";"978-3-85869-127-9";"5.00";"164"
"158";"158";"sites/default/files/pictures/978-3-932710-19-3.jpg";"Alibri";"1999";"978-3-932710-19-3";"17.50";"271"
"591";"591";;"Oppo";"2005";"978-3-926880-13-0";"24,90";"220"
"160";"160";;"Unrast";"1998";"978-3-928300-91-1";"13.00";"170"
"161";"161";;"Karin Kramer";" 1977";"978-3-89756-075-7";"13.00";"400"
"162";"162";"sites/default/files/pictures/978-3-928300-61-X.jpg";"Unrast";"1997";"978-3-928300-61-2";"13.00";"138"
"163";"163";"sites/default/files/pictures/978-3-930830-06-X.jpg";"AG SPAK";"1997";"978-3-930830-06-0";"24.50";"224"
"164";"164";;"Komitee für Grundrechte und Demokratie";"1994";"978-3-88906-055-2";"10.00";"263"
"166";"166";"sites/default/files/pictures/978-3-924444-01-3.jpg";"Donat";"1984";"978-3-924444-01-3";"7.80";"111"
"167";"167";;"Edition AV";"2004";"978-3-936049-30-0";"11.80";"128"
"169";"169";"sites/default/files/pictures/";"Diogenes";"1985";"978-3-257-01700-6";"19.90";"335"
"170";"170";;"Bibliothe Thélème";"1993";"978-3-927982-21-0";"17.00";"192"
"171";"171";;"ID-Verlag";"1994";"978-3-89408-034-5";"7.00";"119"
"172";"172";" ";;;" ";"3.00";"95"
"173";"173";"sites/default/files/pictures/978-3-88713-057-X.jpg";"Verlag Weber & Zucht";;"978-3-88713-057-2";"20,00";"302"
"174";"174";"sites/default/files/pictures/978-3-88713-033-2.jpg";"Verlag Weber & Zucht";"1988";"978-3-88713-033-6";"18.00";"304"
"175";"175";"sites/default/files/pictures/978-3-88713-003-0.jpg";"Verlag Weber & Zucht";;"978-3-88713-003-9";"9,00";"124"
"176";"176";"sites/default/files/pictures/978-3-88713-040-5.jpg";"Verlag Weber & Zucht";"1993";"978-3-88713-040-4";"20.00";"311"
"177";"177";"sites/default/files/pictures/978-3-88713-054-5.jpg";"Verlag Weber & Zucht";;"978-3-88713-054-1";"10.00";"160"
"178";"178";"sites/default/files/pictures/978-3-88713-041-1.jpg";"Verlag Weber & Zucht";;"978-3-88713-041-1";"10.00";"239"
"179";"179";"sites/default/files/pictures/978-3-88713-055-3.jpg";"Verlag Weber & Zucht";;"978-3-88713-055-8";"9.00";"112"
"180";"180";"sites/default/files/pictures/978-3-88713-046-4.jpg";"Verlag Weber & Zucht";"1996";"978-3-88713-046-6";"18.00";"176"
"181";"181";"sites/default/files/pictures/978-3-88713-053-7.jpg";"Verlag Weber & Zucht";;"978-3-88713-053-4";"6.00";"45"
"182";"182";"sites/default/files/pictures/978-3-88713-056-1.jpg";"Verlag Weber & Zucht";"2002";"978-3-88713-056-5";"16.00";"307"
"183";"183";"sites/default/files/pictures/978-3?88713?049?7.jpg";"Verlag Weber & Zucht";;"978-3‑88713‑049‑7";"5.00";"84"
"184";"184";"sites/default/files/pictures/978-3-9806353-7-6.jpg";"Graswurzelrevolution";"2005";"978-3-9806353-7-6";"17.80";"277"
"185";"185";"sites/default/files/pictures/978-3-9806353-4-1.jpg";"Graswurzelrevolution";"2002";"978-3-9806353-4-1";"5.90";"52"
"186";"186";"sites/default/files/pictures/978-3-9806353-0-9.jpg";"Graswurzelrevolution";"1998";"978-3-9806353-0-9";"20.50";"328"
"187";"187";"sites/default/files/pictures/978-3-9806353-3-3.jpg";"Grawurzelrevolution";"2001";"978-3-9806353-3-3";"20.50";"362"
"203";"203";"sites/default/files/pictures/978-3-88713-001-4.jpg";"Weber & Zucht";;"978-3-88713-001-5";"12.00";"275"
"190";"190";"sites/default/files/pictures/978-3-89566-137-6.jpg";"pala";"1998";"978-3-89566-137-2";"14,00";"187"
"191";"191";"sites/default/files/pictures/0-85283-263-X.jpg";"Housmans";"Housmans";"0-85283-263-X";"12.00";
"495";"495";;"Büchse der Pandora";"1977";"978-3-88178-043-8";"7,16";"142"
"194";"194";"sites/default/files/pictures/978-3-525-01365-6.jpg";"Vandenhoeck & Ruprecht";"1998";"978-3-525-01365-6";"26.90";"322"
"197";"197";"sites/default/files/pictures/978-3-88713-035-9.jpg";"Weber & Zucht";"1989";"978-3-88713-035-9";"6.00";"77"
"198";"198";"sites/default/files/pictures/978-3-88713-036-7.jpg";"Weber & Zucht";;"978-3-88713-036-7";"6.00";"61"
"199";"199";"sites/default/files/pictures/978-3-88713-025-1.jpg";"Weber & Zucht";;"978-3-88713-025-1";"5.00";"78"
"200";"200";;"Weber & Zucht";;"978-3-88713-043-X";"7.00";"62"
"373";"373";"sites/default/files/pictures/978-3-518-36895-4.jpg";" Suhrkamp";"1972";"978-3-518-36895-4";"9.50";"303"
